Trade mark office,Trade mark status,Registration date,Last office data update,
EM,Registered,27-05-2026,EUIPO - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
FR,Filed,,France - 17.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
EM,Registered,07-03-2026,EUIPO - 17.06.2026,
GR,Registered,03-02-2026,Greece - 17.06.2026,
ES,Registered,17-04-2026,Spain - 17.06.2026,
FR,Filed,,France - 17.06.2026,
IT,Filed,,Italy - 17.06.2026,
IT,Filed,,Italy - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Registered,22-04-2026,EUIPO - 17.06.2026,
IS,Filed,,Iceland - 17.06.2026,
IS,Filed,,Iceland - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Registered,12-06-2026,EUIPO - 17.06.2026,
EM,Registered,01-05-2026,EUIPO - 17.06.2026,
EM,Registered,26-04-2026,EUIPO - 17.06.2026,
DE,Filed,,Germany - 17.06.2026,
EM,Registered,24-05-2026,EUIPO - 17.06.2026,
FR,Registered,19-12-2025,France - 17.06.2026,
IT,Registered,07-05-2026,Italy - 17.06.2026,
PT,Filed,,Portugal - 17.06.2026,
EM,Registered,15-02-2026,EUIPO - 17.06.2026,
CH,Registered,03-03-2026,Switzerland - 17.06.2026,
MT,Filed,,Malta - 17.06.2026,
MT,Filed,,Malta - 17.06.2026,
MT,Filed,,Malta - 17.06.2026,
MT,Filed,,Malta - 17.06.2026,
FR,Registered,21-11-2025,France - 17.06.2026,
FR,Filed,,France - 17.06.2026,
RO,Registered,08-05-2026,Romania - 17.06.2026,
RO,Filed,,Romania - 17.06.2026,
EM,Registered,08-05-2026,EUIPO - 17.06.2026,
FR,Registered,17-10-2025,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
EM,Registered,21-02-2026,EUIPO - 17.06.2026,
EM,Registered,15-10-2025,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Registered,31-01-2026,EUIPO - 17.06.2026,
IT,Filed,,Italy - 17.06.2026,
BX,Filed,,Benelux - 17.06.2026,
EM,Registered,18-04-2026,EUIPO - 17.06.2026,
FR,Registered,24-04-2026,France - 17.06.2026,
EM,Registered,30-05-2026,EUIPO - 17.06.2026,
IT,Registered,10-03-2026,Italy - 17.06.2026,
CZ,Filed,,Czech Republic - 17.06.2026,
MT,Registered,28-04-2026,Malta - 17.06.2026,
FR,Registered,12-12-2025,France - 17.06.2026,
ES,Filed,,Spain - 17.06.2026,
EM,Registered,23-05-2026,EUIPO - 17.06.2026,
EM,Registered,13-03-2026,EUIPO - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
FR,Registered,02-01-2026,France - 17.06.2026,
ES,Registered,20-04-2026,Spain - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Registered,24-05-2026,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
DE,Registered,19-08-2025,Germany - 17.06.2026,
FR,Filed,,France - 17.06.2026,
FR,Filed,,France - 17.06.2026,
FR,Registered,17-10-2025,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Registered,20-02-2026,France - 17.06.2026,
FR,Registered,20-02-2026,France - 17.06.2026,
PT,Registered,16-01-2026,Portugal - 17.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
ES,Filed,,Spain - 17.06.2026,
FR,Registered,17-04-2026,France - 17.06.2026,
CH,Registered,13-04-2026,Switzerland - 17.06.2026,
BX,Registered,22-11-2025,Benelux - 17.06.2026,
AT,Registered,04-11-2025,Austria - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
IT,Filed,,Italy - 17.06.2026,
FR,Registered,06-03-2026,France - 17.06.2026,
DE,Filed,,Germany - 17.06.2026,
EM,Registered,12-12-2025,EUIPO - 17.06.2026,
BX,Filed,,Benelux - 17.06.2026,
BX,Filed,,Benelux - 17.06.2026,
DE,Registered,08-06-2026,Germany - 17.06.2026,
FR,Registered,05-12-2025,France - 17.06.2026,
FR,Registered,15-05-2026,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Registered,26-02-2026,EUIPO - 17.06.2026,
FR,Registered,22-05-2026,France - 17.06.2026,
FR,Registered,27-03-2026,France - 17.06.2026,
FR,Registered,31-10-2025,France - 17.06.2026,
FR,Filed,,France - 17.06.2026,
FR,Registered,31-10-2025,France - 17.06.2026,
DE,Registered,11-11-2025,Germany - 17.06.2026,
CH,Filed,,Switzerland - 17.06.2026,
CH,Filed,,Switzerland - 17.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
HU,Registered,13-12-2025,Hungary - 17.06.2026,
HU,Filed,,Hungary - 17.06.2026,
RO,Filed,,Romania - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
EM,Registered,06-12-2025,EUIPO - 17.06.2026,
EM,Registered,31-12-2025,EUIPO - 17.06.2026,
FR,Registered,24-10-2025,France - 17.06.2026,
DE,Filed,,Germany - 17.06.2026,
FR,Registered,15-05-2026,France - 17.06.2026,
EM,Registered,20-11-2025,EUIPO - 17.06.2026,
FR,Filed,,France - 17.06.2026,
DE,Registered,02-06-2026,Germany - 17.06.2026,
FR,Registered,24-10-2025,France - 17.06.2026,
ES,Filed,,Spain - 17.06.2026,
EM,Registered,22-03-2026,EUIPO - 17.06.2026,
FR,Registered,24-10-2025,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Registered,27-03-2026,France - 17.06.2026,
EM,Registered,21-05-2026,EUIPO - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Registered,17-04-2026,France - 17.06.2026,
FR,Registered,22-05-2026,France - 17.06.2026,
FR,Registered,03-04-2026,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
FR,Registered,24-10-2025,France - 17.06.2026,
UA,Filed,,Ukraine - 13.06.2026,
FR,Registered,22-05-2026,France - 17.06.2026,
BX,Registered,21-03-2026,Benelux - 17.06.2026,
FR,Filed,,France - 17.06.2026,
EM,Filed,,EUIPO - 17.06.2026,
,,,,
UA,Filed,,Ukraine - 13.06.2026,
FR,Registered,05-06-2026,France - 17.06.2026,
FR,Registered,17-04-2026,France - 17.06.2026,
BX,Filed,,Benelux - 17.06.2026,
DE,Registered,09-06-2026,Germany - 17.06.2026,
FR,Filed,,France - 17.06.2026,
FR,Filed,,France - 17.06.2026,
